字	音
绿	lü4
去	qu4
天	tian1
连	lian2
堂	tang2
床	chuang2
想	xiang3
翔	xiang2
高	gao1
到	dao4
漾	yang4
望	wang4
财	cai2
来	lai2
色	se4
错	cuo4
择	ze2
多	duo1
车	che1
浅	qian3
表	biao3
秒	miao3
找	zhao3
厢	xiang1
撞	zhuang4
室	shi4
翅	chi4
吃	chi1
5	wu3
股	gu3
日	ri4
时	shi2
死	si3
试	shi4
五	wu3
虎	hu3
苦	ku3
过	guo4
梯	ti1
三	san1
识	shi2
知	zhi1
摇	yao2
草	cao3
通	tong1
红	hong2
东	dong1
丛	cong2
城	cheng2
腾	teng2
能	neng2
风	feng1
关	guan1
拦	lan2
家	jia1
恰	qia4
杀	sha1
食	shi2
水	shui3
美	mei3
内	nei4
危	wei1
贼	zei2
维	wei2
吹	chui1
飞	fei1
归	gui1
证	zheng4
伪	wei3
堆	dui1
退	tui4
悔	hui3
张	zhang1
良	liang2
糖	tang2
香	xiang1
甘	gan1
县	xian4
电	dian4
山	shan1
单	dan1
般	ban1
登	deng1
征	zheng1
争	zheng1
胜	sheng4
险	xian3
点	dian3
夺	duo2
说	shuo1
货	huo4
特	te4
托	tuo1
泽	ze2
瀑	pu4
处	chu4
宽	kuan1
峦	luan2
断	duan4
完	wan2
桥	qiao2
焦	jiao1
分	fen1
人	ren2
合	he2
潺	chan2
站	zhan4
慢	man4
革	ge2
岭	ling3
见	jian4
脸	lian3
遍	bian4
别	bie2
叶	ye4
借	jie4
宿	su4
助	zhu4
树	shu4
楚	chu3
图	tu2
读	du2
木	mu4
速	su4
出	chu1
猪	zhu1
哭	ku1
住	zhu4
无	wu2
野	ye3
竭	jie2
翠	cui4
醉	zui4
贵	gui4
路	lu4
熟	shu2
乎	hu1
呼	hu1
究	jiu1
族	zu2
古	gu3
估	gu1
境	jing4
亭	ting2
静	jing4
宁	ning2
情	qing2
星	xing1
请	qing3
畔	pan4
烂	lan4
现	xian4
券	quan4
边	bian1
架	jia4
话	hua4
化	hua4
达	da2
他	ta1
沙	sha1
晨	chen2
衬	chen4
伴	ban4
看	kan4
神	shen2
真	zhen1
下	xia4
怕	pa4
踏	ta4
加	jia1
朗	lang3
上	shang4
畅	chang4
旁	pang2
商	shang1
忙	mang2
赏	shang3
掉	diao4
造	zao4
道	dao4
裂	lie4
截	jie2
线	xian4
建	jian4
茏	long2
变	bian4
前	qian2
管	guan3
言	yan2
盘	pan2
缓	huan3
染	ran3
眼	yan3
酸	suan1
碳	tan4
