编号	电子地址	实体地址	完成日期	完成日期附加	韵脚
501		St3-B3-1-1, St4-A2-4-2	2005/1/10		绿去
502		St3-B3-1-1, St4-G5-4-20	2005/1/10		天连圈(quan1)连
503		St3-B3-1-2	2005/1/28		堂床想翔；高到；漾翔望量(liang2)望
504		St3-B3-1-4	2005/2/18		财来
505		St3-B3-1-6, St4-A2-4-2, St4-G1-1a-6, St4-G5-4-20	2005/6/20		色错择
506		St3-B3-1-6, St4-A2-4-2, St4-F2-4-3	2005/6/20		多错车择
507		St3-B3-1-7, St4-A2-4-3	2005/7/1		天连浅
508		St3-B3-1-7	2005/7/1		表秒找秒
509		St3-B3-1-13	2005/7/5		当(dang1)厢撞
510		St3-B3-1-13, St4-A2-4-7a	2005/7/5		发(fa1)发(fa1)
511		St4-G1-1a-5	2005/9		室翅<吃吃>；5股
512		St4-G1-1a-5	2005/9		日时死
513		St4-G1-1a-5	2005/9		时s(si04)试
514		St4-G1-1a-5	2005/9		五<虎虎>苦
515		St4-G1-1a-6	2005/9		过错；梯梯
516		St4-G1-1b-13, St4-A4-1-11	2005/10	大约	三观(guan1)
517		St3-B3-1-20, St4-A2-4-4, St5-A0-3-2	2005/11/27		识知时
518		St3-B3-1-21, St4-A2-4-5	2005/11/27		少(shao3)朝(chao2)高
519		St3-B3-1-22, St4-A2-4-5	2005/11/27		高摇找倒(dao3)草
520		St3-B3-1-24	2005/12/2		通中红冲(chong1)东空丛笼(long01)
521		St3-B3-1-26	2005/12/3		城腾能城风
522		St3-B3-1-27	2005/12/3		关拦三
523		St3-B3-1-28	2005/12/4		家恰杀
524		St3-B3-1-29, St4-A2-4-7b	2005/12/12		吃食知
525		St3-B3-1-31	2005/12/24		水美累(lei4)内危贼维吹飞归；城证；内伪堆退悔伪美
601		St4-A2-4-8	2006/1/29		张良床
602		St4-A2-4-9	2006/2/1		糖藏(cang2)香
603		St4-A2-4-11~12, St4-E4-2-15	2006/3/26		难(nan2)甘难(nan2)
604		St4-A2-4-13	2006/3/26		县天电
605		St4-A2-4-14, St4-A2-4-16, St4-E4-2-44	2006/3/28		山单般
606		St4-E4-2-44	2006/6	大约	登征城争城胜
607		St4-A2-4-15	2006/6/22		险天点
608		St4-G3-3b-3	2006		错车夺说车货错特车个(ge04)托车车泽车错了(lë01)
609		St4-G3-4-7	2006/6	大约	登城胜
610		St4-G5-4-20	2006		瀑处
701		St4-A2-4-16	2007/1/20		点宽峦山断完
702		St4-A2-4-17, St4-B3-2-2a	2007/7/10		高桥焦
703		St4-A2-4-17, St4-B3-2-2a	2007/7/10		分人
704		St4-A2-4-17, St4-B3-2-2a	2007/7/10		合多折(zhe2)
705		St4-B3-2-2a	2007/7/10		潺站慢
706		St4-B3-2-2a	2007/7/10		红空重(zhong4)
707		St4-B3-2-2a	2007/7/10		革多
708		St4-B3-2-2a	2007/7/10		岭城腾
801		St4-B2-2b-9, St4-E2-4-6	2008		见脸遍
802		St4-E2-1-28a	2008/9	大约	别叶借
803		St4-E2-1-28a	2008/9		宿处助树楚图读处助木速出猪哭住无不(bu4)
804		St4-E2-1-28a	2008/9		野竭；翠水醉贵
805		St4-E2-1-16	2008		助路出处熟乎呼究族出古估路哭
806		St4-E2-2-19	2008/12		境亭静宁情星请
901		St4-E2-4-18	2009/3/12		站畔烂现券边山间(jian1)
902		St4-E2-5-24, St4-E2-4-27	2009/3		架架俩(lia3)话杀了(la04)吧(ba04)呀(ya04)化达呀(ya0→1♡)他沙
903		St4-E2-5-19b	2009/4/16		晨人衬伴站看神真
904		St4-E2-5-18a	2009/5		ラ(la01)家下怕踏架ラ(la1)加卡(ka3)ハ(ha1)
905-2		SPW-0'a-3-1a	2009/9		朗上畅旁商忙上香赏；掉造道
905-3		SPW-0'a-3-1a	2009/9		裂截裂贴(tie1)
